SIGLA,Orgao,Latitude,Longitude,Endereco
SEAÀC,Secretaria de Estado de Atendimento à comunidade,-15.7836,-47.9078,"Palácio do Buriti, Anexo, 11º Andar, Praça do Buriti, Plano Piloto, Brasília - DF, 70075-900"
SECTI,"Secretaria de Estado de Ciência, Tecnologia e Inovação",-15.7997,-47.8906,"SCS Quadra 09, Bloco A, Lote 03, Edifício Parque Cidade Corporate, Torre C, 7º Andar, Plano Piloto, Brasília - DF, 70308-200"
SEDET,"Secretaria de Estado de Desenvolvimento Econômico, Trabalho e Renda",-15.7969,-47.8864,"SCS Quadra 02, Bloco C, Edifício Serra Dourada, Plano Piloto, Brasília - DF, 70300-902"
SEDS,Secretaria de Estado de Desenvolvimento Social,-15.7533,-47.8931,"SEPN 515, Bloco A, Edifício OAS, Asa Norte, Plano Piloto, Brasília - DF, 70770-501"
SEEC,Secretaria de Estado de Economia,-15.78397476,-47.89034031,
SEE,Secretaria de Estado de Educação,-15.7917,-47.8822,"SBN Quadra 02, Bloco C, Edifício Phenícia, Asa Norte, Plano Piloto, Brasília - DF, 70040-020"
SEL,Secretaria de Estado de Esporte e Lazer,-15.7874753,-47.878744,
SEG,Secretaria de Estado de Governo,-15.7836,-47.9078,"Palácio do Buriti, 16º Andar, Praça do Buriti, Plano Piloto, Brasília - DF, 70075-900"
SEJUS,Secretaria de Estado de Justiça e Cidadania do Distrito Federal,-15.77589322,-47.9406708,
SEM,Secretaria de Estado de Mulher,-15.7836,-47.9078,"Via S1, Praça do Buriti, Anexo do Palácio do Buriti, 8º Andar, Plano Piloto, Brasília - DF, 70075-900"
SODF,Secretaria de Estado de Obras e Infraestrutura,-15.81566544,-47.95434351,
DFLEGAL,Secretaria de Estado de Proteção da Ordem Urbanística - DF Legal,-15.8008515,-47.96545199,
SESDF,Secretaria de Estado de Saúde,-15.78236303,-47.89015563,
SECOM,Secretaria de Estado de Comunicação,-15.7836,-47.9078,"Anexo do Palácio do Buriti, Praça do Buriti – Zona Cívico-Administrativa (mesmo complexo das demais ouvidorias validadas do Buriti)"
SEMOB,Secretaria de Estado de Transporte e Mobilidade,-15.77388876,-47.94153879,
SEMA,Secretaria de Estado do Meio Ambiente,-15.7578,-47.8903,"SEPN 511, Bloco C, Edifício Spazio Brasilia, Asa Norte, Plano Piloto, Brasília - DF, 70750-543"
SLU,Serviço de Limpeza Urbana do DF (SLU),-15.7975,-47.8889,"SCS Quadra 08, Bloco B-60, Edifício Venâncio Shopping, 3º Andar, Plano Piloto, Brasília - DF, 70333-900"
UNDF,Universidade do Distrito Federal Prof. Jorge Amaury (UNDF),-15.7369,-47.8864,"CA 02, Lote 02, Edifício Complexo de Ensino Superior, Lago Norte, Brasília - DF, 71503-502"
